"model","f1","f2","y1","y2","y3"
"Eldorado",-0.83181,2.07163,3,2,4
"Chevette",-0.80444,-1.42861,5,3,2
"Citation",-0.05937,-0.87198,4,1,5
"Malibu",-0.40962,-0.03711,3,3,4
"Fairmont",-0.43014,-0.89373,3,3,4
"Mustang",-0.39557,-0.19366,3,2,2
"Pinto",-1.06838,-1.38355,4,1,1
"Accord",1.36506,0.10589,5,5,3
"Civic",0.92715,-0.45266,5,5,3
"Continental",-0.85339,2.17594,2,4,5
"Gran Fury",-0.92325,0.13692,2,1,5
"Horizon",-0.35713,-0.41523,4,3,3
"Volare",-0.50161,-0.22533,2,1,3
"Firebird",-0.48918,0.8726,1,1,5
"Dasher",1.3541,0.22998,5,3,4
"Rabbit",1.41912,-0.06966,5,4,3
"DL",2.05842,0.37856,4,5,5
