judge,car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17
1,8,0,4,6,2,5,0,5,4,7,7,3,4,0,4,4,9
2,0,0,0,0,0,0,0,9,8,0,0,0,0,1,8,8,9
3,0,5,5,2,2,0,2,5,3,0,0,0,0,0,5,5,8
4,7,1,3,7,4,7,1,6,6,8,6,5,5,7,8,8,9
5,9,2,3,4,0,1,0,8,7,9,0,0,0,8,6,5,9
6,9,0,0,0,0,9,0,9,0,9,0,0,0,9,9,0,9
7,0,0,5,0,6,7,0,7,9,0,0,5,3,5,6,9,8
8,4,4,8,7,7,7,3,6,5,5,4,6,6,6,5,7,9
9,9,2,1,2,1,0,0,0,0,9,3,3,1,1,0,0,0
10,1,3,4,3,5,5,3,9,7,2,4,5,4,3,8,9,9
11,2,4,1,1,0,0,0,6,4,2,1,4,0,2,8,6,9
12,4,5,6,2,2,2,3,9,8,3,0,6,2,0,7,9,9
13,0,1,1,1,1,1,0,9,8,0,1,1,1,1,7,5,9
14,5,0,6,3,4,1,2,9,8,4,1,3,6,2,7,7,9
15,0,4,4,4,4,0,0,5,5,0,0,0,0,0,9,9,8
16,8,3,3,5,3,1,1,2,2,9,7,2,2,6,5,5,7
17,9,0,5,5,5,8,5,9,5,9,3,4,7,9,3,4,9
18,7,0,4,4,3,5,0,9,6,6,3,4,5,5,7,8,8
19,1,3,4,5,0,0,0,8,7,2,3,4,4,8,7,7,9
20,0,5,7,6,6,6,5,9,7,0,4,6,4,2,8,8,9
21,9,1,4,6,4,5,1,7,6,9,5,7,7,6,9,8,1
22,3,5,7,8,8,7,4,5,5,1,8,5,6,5,5,5,9
23,8,6,7,6,6,5,0,0,0,9,7,6,5,9,0,0,0
24,0,9,9,5,5,5,7,7,7,0,0,5,5,0,0,0,0
25,9,8,5,8,5,5,8,8,5,9,8,5,5,7,0,0,0
