"ramyon","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11"
"A",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",3.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",3.6,3.4,5,NA,NA,NA,NA,NA,NA,NA,NA
"D",4.6,4.7,4.2,5,NA,NA,NA,NA,NA,NA,NA
"E",4.1,4.3,3.7,4.3,5,NA,NA,NA,NA,NA,NA
"F",3.4,3.4,2.7,3.8,3.4,5,NA,NA,NA,NA,NA
"G",3.3,3,2.4,4.3,3.6,2.4,5,NA,NA,NA,NA
"H",3.2,3.1,3,4.5,3.9,2.9,2.9,5,NA,NA,NA
"I",3.7,3.8,3.5,4.4,4.7,3.5,3.5,3.7,5,NA,NA
"J",3.4,3.2,2.8,4.1,4.1,2.9,3.1,3.3,3.3,5,NA
"K",4.3,3.9,2.7,4.2,3.5,3.6,3.3,3.6,2.8,3.4,5
