"ID","x1","x2","x3","x4","x5","x6","x7","x8","gender","married","age","region","job","house"
1,2,1,1,1,4,2,1,1,1,1,2,1,3,1
2,5,NA,2,NA,1,1,1,1,1,1,2,1,3,2
3,5,2,2,2,6,5,5,1,1,2,3,1,1,1
4,4,4,3,4,6,6,4,5,1,2,3,1,4,3
5,5,2,3,2,3,4,4,1,1,2,3,1,4,3
6,4,5,5,4,4,5,4,1,1,2,3,1,2,1
7,4,5,3,5,3,5,5,3,1,2,3,1,4,1
8,5,5,5,5,5,5,4,1,1,1,3,1,3,2
9,5,4,4,3,5,5,3,1,1,2,4,1,7,1
10,5,4,2,1,3,4,1,1,1,2,4,1,4,3
11,4,2,2,2,2,2,5,1,1,2,4,1,4,3
12,4,4,1,2,5,5,5,2,1,2,4,1,4,3
13,3,3,3,3,3,3,3,3,1,2,5,1,2,1
14,4,4,4,3,4,4,4,2,1,2,5,1,3,3
15,5,5,4,4,5,5,5,2,1,2,5,1,4,3
16,4,1,4,3,5,5,2,1,1,2,5,1,1,3
17,4,4,3,3,4,4,4,1,1,2,6,1,3,2
18,5,1,5,4,1,3,1,4,1,1,1,1,5,1
19,3,4,1,4,4,4,1,1,1,1,1,1,5,1
20,4,3,2,3,2,2,2,2,1,1,1,1,5,1
21,4,4,5,5,5,3,3,3,1,1,1,1,7,3
22,5,3,3,2,2,5,3,3,1,1,1,1,5,3
23,1,1,1,1,1,1,1,1,1,1,1,1,5,2
24,4,2,4,1,2,5,1,1,1,1,1,1,5,1
25,4,3,1,1,3,1,1,1,1,1,1,1,5,3
26,4,1,2,1,6,3,1,1,1,1,2,1,5,3
27,4,4,3,3,3,3,1,1,1,1,2,1,4,2
28,5,1,1,1,1,2,4,1,1,1,2,1,5,3
29,4,4,4,3,4,5,3,3,1,1,2,1,7,1
30,5,2,3,1,6,4,1,1,1,1,2,1,2,1
31,4,4,5,4,3,3,5,3,1,1,2,1,4,2
32,4,4,4,3,4,4,4,1,1,1,2,1,2,1
33,1,1,1,1,1,4,1,1,1,2,2,1,1,2
34,4,3,3,4,5,4,4,1,1,1,2,1,4,2
35,5,3,4,4,3,5,4,2,1,1,2,1,4,3
36,1,1,1,1,1,1,1,1,1,1,2,1,1,3
37,3,3,3,4,3,3,3,3,1,1,2,1,4,2
38,3,3,2,4,2,4,3,3,1,2,3,1,7,1
39,3,3,3,3,3,4,3,1,1,2,3,1,4,2
40,2,2,2,2,2,4,2,2,1,1,3,1,4,1
41,5,4,2,2,2,2,3,1,1,1,3,1,7,1
42,4,4,4,4,4,4,4,4,1,2,3,1,3,3
43,6,2,4,4,6,6,6,2,1,1,3,1,2,1
44,4,3,2,1,2,5,5,3,1,2,3,1,7,1
45,1,1,2,1,1,3,3,1,1,2,3,1,2,3
46,4,3,3,3,4,4,4,3,1,2,3,1,3,2
47,5,2,1,1,3,4,4,1,2,2,5,1,3,1
48,4,3,4,3,3,4,3,3,1,1,3,1,4,3
49,1,4,4,2,4,5,4,1,1,2,3,1,7,1
50,4,4,4,3,4,3,3,3,1,2,4,1,7,3
51,4,3,3,3,3,3,3,1,1,2,3,1,7,1
52,3,4,4,3,1,4,1,1,1,2,3,1,3,1
53,5,3,2,1,5,4,2,1,1,2,4,1,4,1
54,6,3,4,3,3,6,3,3,1,2,4,1,1,1
55,1,1,1,1,1,1,1,1,1,2,4,1,3,2
56,5,1,1,3,4,5,3,1,1,2,4,1,1,1
57,5,5,3,3,3,5,4,1,1,2,4,1,2,3
58,5,3,4,3,5,5,4,4,1,2,4,1,1,1
59,5,4,5,4,3,3,4,5,1,2,4,1,3,3
60,5,5,5,5,5,5,5,1,1,2,4,1,1,1
61,4,3,3,3,5,5,4,1,1,2,4,1,1,2
62,5,2,1,2,4,5,5,1,1,2,4,1,7,3
63,5,4,5,5,6,5,6,1,1,2,4,1,4,2
64,4,1,1,1,4,3,3,1,1,2,4,1,1,3
65,4,4,4,1,1,1,1,1,1,2,5,1,4,3
66,5,2,3,2,5,5,5,1,1,2,5,1,1,1
